,clip_name
0,Q2_l-4Kce3YxxQ_1.mid
1,Q2_61EA0xRX8gE_4.mid
2,Q1_s6-SbDSZzEU_1.mid
3,Q1_8rupdevqfuI_1.mid
4,Q3_ldCQ6N9G6Mk_3.mid
5,Q3_H6_7DjsbROQ_0.mid
6,Q3_2v6gJi03LlA_1.mid
7,Q2_9v2WSpn4FCw_7.mid
8,Q4_CkjAksZstEA_1.mid
9,Q4_ADJ_PDauy-g_2.mid
10,Q2_qlbazHayULg_12.mid
11,Q3_H6_7DjsbROQ_3.mid
12,Q3_JNzqL24ZcZ8_0.mid
13,Q1_6Uf9XBUD3wE_1.mid
14,Q3_-vAz_HTFEXs_1.mid
15,Q4_kMHiU0fhWVw_3.mid
16,Q3_IH2KrGjKXw0_0.mid
17,Q1_WpZ1rWHOCAQ_0.mid
18,Q3_veG92Oi-DlU_2.mid
19,Q4_VCSDjQxAJzc_0.mid
20,Q4_KRlAez34QfE_2.mid
21,Q2_pouxqiySdI8_1.mid
22,Q1_yFw_kO7DF-Y_1.mid
23,Q2_-jJVb0xvbdg_0.mid
24,Q2_sEQf5lcnj_o_3.mid
25,Q4_fShAWhXIits_0.mid
26,Q3_uj3Gif77SYM_7.mid
27,Q4_Y1F0c3zgMJo_1.mid
28,Q2_ufRISSD28XA_0.mid
29,Q1_NP0lwB-_-og_1.mid
30,Q1_94ROf10d1iA_2.mid
31,Q1_bIx4DwkZxFY_0.mid
32,Q4_Ury1cdB79s0_0.mid
33,Q4_Q49PWE0RJLY_0.mid
34,Q2_eGQUZ9FlUJ4_1.mid
35,Q3_ilCcZpD39HU_4.mid
36,Q4_BIRDDxz0E4c_1.mid
37,Q2_TcFVq0leii4_1.mid
38,Q2_REq37pDAm3A_2.mid
39,Q2_Dg935IbDggo_3.mid
40,Q4_I2MrA-o5H8I_1.mid
41,Q2_ZdyiXIlKe_Y_1.mid
42,Q2_S1T3UF1vhSk_1.mid
43,Q3_ilCcZpD39HU_0.mid
44,Q2_mlHheZbblT0_1.mid
45,Q3_vVTP0DOL_2Q_1.mid
46,Q1_DX1IK3z1w10_1.mid
47,Q3_bbU31JLtlug_0.mid
48,Q4_vpTguZtJAFA_1.mid
49,Q2_8c7kcmsnf-s_0.mid
50,Q3_2eIsQtm4YNs_0.mid
51,Q4_mGYKWCVnMwQ_1.mid
52,Q2_7n32BtYb4d4_2.mid
53,Q3_9Xg69XrVaYU_0.mid
54,Q3_0c2dTJTDUR4_0.mid
55,Q1_8rupdevqfuI_0.mid
56,Q3_K84TcgjCRt4_1.mid
57,Q1_3N2G21U7guk_6.mid
58,Q2_z5ewpQwGDNw_1.mid
59,Q3_ISCVfmBvYoM_0.mid
60,Q2_1kny88W533Q_0.mid
61,Q4_iXiSFSGws-c_0.mid
62,Q4_ldCQ6N9G6Mk_0.mid
63,Q2_ZTrEoB8T9YA_2.mid
64,Q1_UOSlDydo94E_1.mid
65,Q3_ItGNJM6skM4_0.mid
66,Q4_3As1t6JySDE_0.mid
67,Q3_QJlnTN7HRwE_3.mid
68,Q1_NGE9ynTJABg_1.mid
69,Q2_0J7lX-Tcx-w_2.mid
70,Q4_Gcbk0GPT3-g_1.mid
71,Q4_vBHoSz8cJIE_4.mid
