midi_file,split,composer
"Bach, Johann Sebastian, Sinfonia in C minor, BWV 788, 4nOY7cvHFcI.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Invention in E major, BWV 777, UuMdUG-eZtk.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in C minor, BWV 871, nTY1tN7aoCw.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Fugue in C major, BWV 953, Lb3tUPg7p_s.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in F minor, BWV 881, oZQQxIXiqN8.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Invention in C major, BWV 772, R4IzqJtD4dM.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in C major, BWV 846, 0KQW2YnCUrE.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in A major, BWV 864, WKNfd8GzFjw.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Sinfonia in E minor, BWV 793, TMkoMyjSZRc.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Air in F major, BWV Anh.131, ofljU7lmZMA.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Fantasia and Fugue in C minor, BWV 906, dT7FnwO40cQ.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Sinfonia in A major, BWV 798, 4Criw3iCUpw.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Duetto No.4 in A minor, BWV 805, UeXbygrzXrQ.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in G minor, BWV 885, 9XCS5COS8Fs.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in F-sharp minor, BWV 859, RjAQLU23keI.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in C major, BWV 870, F1lajYAtdGg.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Nun lob, mein Seel, den Herren, BWV 390, OqFDs-QqSho.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Duetto No.1 in E minor, BWV 802, XJDb00Go7vE.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, March in E-flat major, BWV Anh.127, -_6JYI6H1C8.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in E-flat major, BWV 876, 4p05T6WeAY0.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Applicatio in C major, BWV 994, eT0Qcf4C0fI.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Toccata in G major, BWV 916, vPG1HlJ1_UE.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Minuet in A minor, BWV Anh.120, -v5tAtl2KjQ.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Sinfonia in D major, BWV 789, 6h-vn-Koutc.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Invention in F minor, BWV 780, 1ytvth9cXeo.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Fantasia and Fugue in D minor, BWV 905, wdd10j7RIao.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in B minor, BWV 893, bp4Y8buWb3k.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in B-flat major, BWV 866, Y9KHhjUwG14.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Invention in D major, BWV 774, whfkzyoRau8.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Prelude and Fugue in A minor, BWV 889, aPSCHZnjw2k.mid",train,"Bach, Johann Sebastian"
"Bach, Johann Sebastian, Minuet in F major, BWV Anh.113, -OqSGhlsdgQ.mid",train,"Bach, Johann Sebastian"
