player_id,artist,song_split,album_split_0,album_split_1,album_split_2,midi_filepath
12,Dick Hyman,val,train,train,train,midi_brad/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/One Life to Live.mid
4,Art Tatum,val,val,train,val,"midi_brad/studio/Art Tatum/The Art Tatum Solo Masterpieces, Volume 1/Embraceable You.mid"
19,Hank Jones,train,train,train,train,midi_brad/studio/Hank Jones/Handful Of Keys/Believe It Beloved - Instrumental.mid
0,Abdullah Ibrahim,train,val,train,train,midi_brad/studio/Abdullah Ibrahim/Solotude/The Wedding.mid
4,Art Tatum,val,train,train,train,"midi_brad/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 4/I'll See You Again.mid"
28,Roland Hanna,train,train,train,train,midi_brad/studio/Roland Hanna/Solo Piano/Where or When.mid
13,Duke Jordan,test,train,test,train,"midi_brad/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Deacon's Blues.mid"
23,John Hicks,train,train,val,train,midi_brad/studio/John Hicks/Hicks Time/Jest A Little.mid
6,Bill Cunliffe,train,train,train,val,"midi_brad/studio/Bill Cunliffe/Cunliffe, Bill -  Satisfaction/Road to Rio -  But Beautiful -  But Beautiful.mid"
11,Denny Zeitlin,train,test,train,train,midi_brad/studio/Denny Zeitlin/Homecoming/Just Passing By.mid
29,Tete Montoliu,train,test,train,train,midi_brad/studio/Tete Montoliu/The Music I Like To Play - Vol. 4/All The Things You Are.mid
10,Dave McKenna,train,train,train,train,midi_brad/studio/Dave McKenna/Dave McKenna -  Solo/C Jam Blues 2.mid
2,Alan Pasqua,test,train,test,train,midi_brad/studio/Alan Pasqua/Soliloquy/Embraceable You.mid
29,Tete Montoliu,val,train,val,test,midi_brad/studio/Tete Montoliu/Solo Piano/Canço De Matinada.mid
4,Art Tatum,test,train,train,train,"midi_brad/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 3/All The Things You Are.mid"
14,Ellis Marsalis,train,train,train,val,midi_brad/studio/Ellis Marsalis/Duke In Blue/Drop Me Off In Harlem.mid
15,Erroll Garner,train,train,train,train,midi_brad/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/If I Could Be With You.mid
12,Dick Hyman,train,train,train,train,midi_brad/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/I Am Only Human After All.mid
15,Erroll Garner,train,train,train,train,"midi_brad/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You.mid"
12,Dick Hyman,test,train,train,train,midi_brad/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/This Is New.mid
12,Dick Hyman,train,train,train,train,midi_brad/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/Now.mid
24,Keith Jarrett,train,train,train,train,"midi_brad/studio/Keith Jarrett/The Melody At Night, With You/Someone To Watch Over Me.mid"
26,Oscar Peterson,train,train,train,train,midi_brad/studio/Oscar Peterson/Tracks (Remastered)/Django - Remastered.mid
18,George Shearing,train,val,train,val,midi_brad/studio/George Shearing/Grand Piano/Easy To Love.mid
29,Tete Montoliu,train,train,train,train,midi_brad/studio/Tete Montoliu/The Music I Like To Play - Vol.1/Don't Smoke Anymore.mid
22,Joanne Brackeen,test,train,train,train,midi_brad/studio/Joanne Brackeen/Popsicle Illusion/Nature Boy.mid
29,Tete Montoliu,train,train,train,train,midi_brad/studio/Tete Montoliu/The Music I Like To Play - Vol.1/It Never Entered My Mind.mid
18,George Shearing,train,test,train,val,midi_brad/studio/George Shearing/Grand Piano/Nobody Else But Me.mid
16,Fred Hersch,val,test,test,train,midi_brad/studio/Fred Hersch/Songs From Home/West Virginia Rose  The Water is Wide.mid
10,Dave McKenna,train,train,train,train,midi_brad/studio/Dave McKenna/Dave Fingers McKenna/Willie The Weeper.mid
15,Erroll Garner,train,train,train,train,midi_brad/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Sleepy Lagoon.mid
15,Erroll Garner,test,train,train,train,midi_brad/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Indian Summer.mid
3,Andy Laverne,train,val,train,train,midi_brad/studio/Andy Laverne/In The Mood For A Classic/Glass enclosure.mid
22,Joanne Brackeen,train,train,train,train,midi_brad/studio/Joanne Brackeen/Popsicle Illusion/Prelude to a Kiss.mid
25,Kenny Barron,train,train,train,train,midi_brad/studio/Kenny Barron/At The Piano/Enchanted Flower.mid
1,Alan Broadbent,val,train,train,train,midi_brad/studio/Alan Broadbent/Heart to Heart -  Solo Piano/Blue in Green.mid
0,Abdullah Ibrahim,test,val,train,train,midi_brad/studio/Abdullah Ibrahim/Solotude/Dreamtime.mid
12,Dick Hyman,train,train,train,train,midi_brad/studio/Dick Hyman/Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hammerstein/A Wonderful Guy.mid
18,George Shearing,train,test,train,val,midi_brad/studio/George Shearing/Grand Piano/While We're Young.mid
19,Hank Jones,train,test,train,test,midi_brad/studio/Hank Jones/SOLO 1976 A Tribute to Duke Ellington/Prelude To A Kiss.mid
18,George Shearing,train,train,val,train,midi_brad/studio/George Shearing/The Shearing Piano/It Never Entered My Mind.mid
26,Oscar Peterson,train,train,train,val,midi_brad/studio/Oscar Peterson/1951/Hungarian Dance.mid
2,Alan Pasqua,train,test,train,val,midi_brad/studio/Alan Pasqua/Day Dream/Day Dream.mid
12,Dick Hyman,train,train,train,train,midi_brad/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/When You Live On An Island.mid
11,Denny Zeitlin,train,test,train,train,midi_brad/studio/Denny Zeitlin/Homecoming/Hymn.mid
0,Abdullah Ibrahim,test,train,train,train,"midi_brad/studio/Abdullah Ibrahim/Senzo/Banyana, Children Of Africa.mid"
13,Duke Jordan,train,train,test,train,"midi_brad/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Truth.mid"
26,Oscar Peterson,train,train,train,val,midi_brad/studio/Oscar Peterson/1951/Tea For Two.mid
18,George Shearing,train,train,val,train,midi_brad/studio/George Shearing/The Shearing Piano/Don't Explain.mid
14,Ellis Marsalis,train,train,train,train,midi_brad/studio/Ellis Marsalis/Ruminations in New York/A Moment Alone.mid
0,Abdullah Ibrahim,train,train,val,test,midi_brad/studio/Abdullah Ibrahim/The Song Is My Story/Twelve By Twelve.mid
20,Horace Parlan,val,train,train,train,midi_brad/studio/Horace Parlan/In Copenhagen/Parker's Mood.mid
14,Ellis Marsalis,train,train,train,train,midi_brad/studio/Ellis Marsalis/Ruminations in New York/Tell Me.mid
1,Alan Broadbent,train,train,train,train,midi_brad/studio/Alan Broadbent/Heart to Heart -  Solo Piano/Journey Home.mid
2,Alan Pasqua,test,val,train,test,midi_brad/studio/Alan Pasqua/Day Dream/Upper Manhattan Medical Group.mid
7,Brad Mehldau,train,train,train,test,midi_brad/studio/Brad Mehldau/Suite -  April 2020/Look for the Silver Lining.mid
17,George Cables,train,val,train,train,midi_brad/studio/George Cables/You Don't Know Me Volume I/My Foolish Heart.mid
12,Dick Hyman,train,train,train,train,midi_brad/studio/Dick Hyman/Broadway Songbook/Supper Time.mid
1,Alan Broadbent,train,train,train,train,midi_brad/studio/Alan Broadbent/Heart to Heart -  Solo Piano/Hello My Lovely.mid
28,Roland Hanna,train,train,train,train,midi_brad/studio/Roland Hanna/Solo Piano/Lullaby for Cedric.mid
4,Art Tatum,train,train,val,train,"midi_brad/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 7/Dancing In The Dark.mid"
21,Jessica Williams,train,train,train,train,midi_brad/studio/Jessica Williams/Solo Piano Compositions/Remembering - for Thelonious Monk.mid
19,Hank Jones,train,test,train,test,midi_brad/studio/Hank Jones/SOLO 1976 A Tribute to Duke Ellington/In A Sentimental Mood.mid
12,Dick Hyman,val,train,train,train,midi_brad/studio/Dick Hyman/Dick Hyman Plays Fats Waller/Willow Tree.mid
1,Alan Broadbent,train,train,val,train,midi_brad/studio/Alan Broadbent/To the Evening Star/Candide (Indeed).mid
21,Jessica Williams,test,train,train,train,midi_brad/studio/Jessica Williams/All Alone/Warm Valley.mid
18,George Shearing,train,val,train,val,midi_brad/studio/George Shearing/Grand Piano/Taking A Chance On Love.mid
